RaceName,Circuit/CircuitName,Circuit/Location/Locality,Circuit/Location/Country,Circuit/Location/_lat,Circuit/Location/_long,Circuit/_circuitId,Circuit/_url,Date,Time,FirstPractice/Date,FirstPractice/Time,SecondPractice/Date,SecondPractice/Time,ThirdPractice/Date,ThirdPractice/Time,Qualifying/Date,Qualifying/Time,_season,_round,_url,Sprint/Date,Sprint/Time
Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,2023-03-05,15:00:00Z,2023-03-03,11:30:00Z,2023-03-03,15:00:00Z,2023-03-04,11:30:00Z,2023-03-04,15:00:00Z,2023,1,https://en.wikipedia.org/wiki/2023_Bahrain_Grand_Prix,,
Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,jeddah,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,2023-03-19,17:00:00Z,2023-03-17,13:30:00Z,2023-03-17,17:00:00Z,2023-03-18,13:30:00Z,2023-03-18,17:00:00Z,2023,2,https://en.wikipedia.org/wiki/2023_Saudi_Arabian_Grand_Prix,,
Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,albert_park,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,2023-04-02,05:00:00Z,2023-03-31,01:30:00Z,2023-03-31,05:00:00Z,2023-04-01,01:30:00Z,2023-04-01,05:00:00Z,2023,3,https://en.wikipedia.org/wiki/2023_Australian_Grand_Prix,,
Azerbaijan Grand Prix,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,baku,http://en.wikipedia.org/wiki/Baku_City_Circuit,2023-04-30,11:00:00Z,2023-04-28,09:30:00Z,2023-04-29,09:30:00Z,,,2023-04-28,13:00:00Z,2023,4,https://en.wikipedia.org/wiki/2023_Azerbaijan_Grand_Prix,2023-04-29,13:30:00Z
Miami Grand Prix,Miami International Autodrome,Miami,USA,25.9581,-80.2389,miami,http://en.wikipedia.org/wiki/Miami_International_Autodrome,2023-05-07,19:30:00Z,2023-05-05,17:30:00Z,2023-05-05,21:00:00Z,2023-05-06,16:30:00Z,2023-05-06,20:00:00Z,2023,5,https://en.wikipedia.org/wiki/2023_Miami_Grand_Prix,,
Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,imola,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,2023-05-21,13:00:00Z,2023-05-19,11:30:00Z,2023-05-19,15:00:00Z,2023-05-20,10:30:00Z,2023-05-20,14:00:00Z,2023,6,https://en.wikipedia.org/wiki/2023_Emilia_Romagna_Grand_Prix,,
Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,2023-05-28,13:00:00Z,2023-05-26,11:30:00Z,2023-05-26,15:00:00Z,2023-05-27,10:30:00Z,2023-05-27,14:00:00Z,2023,7,https://en.wikipedia.org/wiki/2023_Monaco_Grand_Prix,,
Spanish Grand Prix,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,catalunya,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,2023-06-04,13:00:00Z,2023-06-02,11:30:00Z,2023-06-02,15:00:00Z,2023-06-03,10:30:00Z,2023-06-03,14:00:00Z,2023,8,https://en.wikipedia.org/wiki/2023_Spanish_Grand_Prix,,
Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,villeneuve,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,2023-06-18,18:00:00Z,2023-06-16,17:30:00Z,2023-06-16,21:00:00Z,2023-06-17,16:30:00Z,2023-06-17,20:00:00Z,2023,9,https://en.wikipedia.org/wiki/2023_Canadian_Grand_Prix,,
Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,red_bull_ring,http://en.wikipedia.org/wiki/Red_Bull_Ring,2023-07-02,13:00:00Z,2023-06-30,11:30:00Z,2023-07-01,10:30:00Z,,,2023-06-30,15:00:00Z,2023,10,https://en.wikipedia.org/wiki/2023_Austrian_Grand_Prix,2023-07-01,14:30:00Z
British Grand Prix,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,2023-07-09,14:00:00Z,2023-07-07,11:30:00Z,2023-07-07,15:00:00Z,2023-07-08,10:30:00Z,2023-07-08,14:00:00Z,2023,11,https://en.wikipedia.org/wiki/2023_British_Grand_Prix,,
Hungarian Grand Prix,Hungaroring,Budapest,Hungary,47.5789,19.2486,hungaroring,http://en.wikipedia.org/wiki/Hungaroring,2023-07-23,13:00:00Z,2023-07-21,11:30:00Z,2023-07-21,15:00:00Z,2023-07-22,10:30:00Z,2023-07-22,14:00:00Z,2023,12,https://en.wikipedia.org/wiki/2023_Hungarian_Grand_Prix,,
Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,2023-07-30,13:00:00Z,2023-07-28,11:30:00Z,2023-07-29,10:30:00Z,,,2023-07-28,15:00:00Z,2023,13,https://en.wikipedia.org/wiki/2023_Belgian_Grand_Prix,2023-07-29,14:30:00Z
Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,2023-08-27,13:00:00Z,2023-08-25,10:30:00Z,2023-08-25,14:00:00Z,2023-08-26,09:30:00Z,2023-08-26,13:00:00Z,2023,14,https://en.wikipedia.org/wiki/2023_Dutch_Grand_Prix,,
Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,2023-09-03,13:00:00Z,2023-09-01,11:30:00Z,2023-09-01,15:00:00Z,2023-09-02,10:30:00Z,2023-09-02,14:00:00Z,2023,15,https://en.wikipedia.org/wiki/2023_Italian_Grand_Prix,,
Singapore Grand Prix,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,marina_bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,2023-09-17,12:00:00Z,2023-09-15,09:30:00Z,2023-09-15,13:00:00Z,2023-09-16,09:30:00Z,2023-09-16,13:00:00Z,2023,16,https://en.wikipedia.org/wiki/2023_Singapore_Grand_Prix,,
Japanese Grand Prix,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit,2023-09-24,05:00:00Z,2023-09-22,02:30:00Z,2023-09-22,06:00:00Z,2023-09-23,02:30:00Z,2023-09-23,06:00:00Z,2023,17,https://en.wikipedia.org/wiki/2023_Japanese_Grand_Prix,,
Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,losail,http://en.wikipedia.org/wiki/Losail_International_Circuit,2023-10-08,14:00:00Z,2023-10-06,10:30:00Z,2023-10-07,10:30:00Z,,,2023-10-06,14:00:00Z,2023,18,https://en.wikipedia.org/wiki/2023_Qatar_Grand_Prix,2023-10-07,14:30:00Z
United States Grand Prix,Circuit of the Americas,Austin,USA,30.1328,-97.6411,americas,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,2023-10-22,19:00:00Z,2023-10-20,17:30:00Z,2023-10-21,18:00:00Z,,,2023-10-20,21:00:00Z,2023,19,https://en.wikipedia.org/wiki/2023_United_States_Grand_Prix,2023-10-21,22:00:00Z
Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,rodriguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,2023-10-29,20:00:00Z,2023-10-27,18:30:00Z,2023-10-27,22:00:00Z,2023-10-28,17:30:00Z,2023-10-28,21:00:00Z,2023,20,https://en.wikipedia.org/wiki/2023_Mexico_City_Grand_Prix,,
São Paulo Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,interlagos,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,2023-11-05,17:00:00Z,2023-11-03,14:30:00Z,2023-11-04,14:30:00Z,,,2023-11-03,18:00:00Z,2023,21,https://en.wikipedia.org/wiki/2023_S%C3%A3o_Paulo_Grand_Prix,2023-11-04,18:30:00Z
Las Vegas Grand Prix,Las Vegas Strip Street Circuit,Las Vegas,United States,36.1147,-115.173,vegas,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit,2023-11-19,06:00:00Z,2023-11-17,04:30:00Z,2023-11-17,08:00:00Z,2023-11-18,04:30:00Z,2023-11-18,08:00:00Z,2023,22,https://en.wikipedia.org/wiki/2023_Las_Vegas_Grand_Prix,,
Abu Dhabi Grand Prix,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,yas_marina,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,2023-11-26,13:00:00Z,2023-11-24,09:30:00Z,2023-11-24,13:00:00Z,2023-11-25,10:30:00Z,2023-11-25,14:00:00Z,2023,23,https://en.wikipedia.org/wiki/2023_Abu_Dhabi_Grand_Prix,,
